Lake,County,geol_form,soil,wtrmonth,wtrTP,wtrTN,wtrCHLO,wtrSECC,smrmonth,smrTP,smrTN,smrCHLO,smrSECC,smrTSIChlo,wtrTSIChlo
WINNOTT,PUTNAM,HAW,CS,FEB,19,813,2,4.1,AUG,25,747,15,3.2,57.16597247,37.39977384
ASBURY,CLAY,JAX,OTHR,JAN,15,540,5,10,SEP,23,437,14,8,56.4891524,46.38858592
BROOKLN,CLAY,HAW,QS,JAN,24,390,3,3.3,AUG,12,360,9,6,52.1547731,41.37738655
BROOK_BAY,CLAY,HAW,QS,DEC,15,355,5,8,SEP,13,318,8,7,50.99932152,46.38858592
CRYSTAL,CLAY,HAW,QS,DEC,10,307,3,14.5,AUG,12,300,5,9.8,46.38858592,41.37738655
DEER,CLAY,HAW,QS,FEB,5,215,3,27,AUG,12,140,9,16,52.1547731,41.37738655
GOLDHEAD,CLAY,HAW,QS,FEB,3,180,1,,AUG,7,170,1,,30.6,30.6
HALL,CLAY,HAW,QS,JAN,9,293,1,7.5,SEP,11,377,4,8.2,44.19954768,30.6
HUTCHINSON,CLAY,HAW,QS,JAN,18,333,10,9.7,SEP,8,203,4,9.2,44.19954768,53.18835976
KINGSLEY,CLAY,PLIO,OTHR,JAN,13,513,1,22.3,SEP,14,460,4,28.5,44.19954768,30.6
LILY,CLAY,HAW,QS,FEB,29,414,47,10.3,SEP,26,440,2,12.8,37.39977384,68.36994797
L_JOHNSON,CLAY,HAW,QS,FEB,6,250,1,,AUG,8,220,2,9.5,37.39977384,30.6
PEBBLE,CLAY,HAW,QS,DEC,21,450,12,6.7,AUG,32,635,32,4.7,64.59886921,54.97693423
SHEELAR,CLAY,HAW,QS,FEB,3,233,5,12.3,AUG,9,187,3,12.9,41.37738655,46.38858592
TWIN,CLAY,HAW,QS,JAN,12,333,4,8.9,AUG,9,393,3,10.7,41.37738655,44.19954768
